5.615485622882843
step,mcc
100,0.021324731409549713
200,0.021324731409549713
300,0.04376012086868286
400,0.04161454737186432
500,0.0
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1600,0.0
1700,0.0
1800,0.0
1900,0.0
2000,0.0
2100,0.0
2200,0.0
2300,-0.029292061924934387
2400,-0.029292061924934387
2500,-0.04146508127450943
2600,-0.06575217843055725
2700,-0.05668656527996063
2800,-0.06624358892440796
2900,-0.026981262490153313
3000,-0.026981262490153313
3100,-0.025941938161849976
3200,-0.017491308972239494
3300,-0.023667341098189354
3400,-0.02534148283302784
3500,-0.019667470827698708
3600,-0.03219549357891083
3700,-0.007670734543353319
3800,-0.024384334683418274
3900,-0.012820186093449593
4000,-0.0196126289665699
4100,-0.007740441244095564
4200,-0.011680345982313156
4300,0.02233954891562462
4400,0.02607109770178795
4500,0.024909619241952896
4600,0.04809833690524101
4700,0.05725624039769173
4800,0.06654844433069229
4900,0.03803270682692528
5000,0.04707372188568115
5100,0.03859061002731323
5200,0.04366028681397438
5300,0.03859061002731323
5400,0.03802894800901413
5500,0.04227278754115105
5600,0.038218118250370026
5700,0.04576921835541725
5800,0.033410102128982544
5900,0.05398458242416382
6000,0.0578746572136879
6100,0.045019231736660004
6200,0.046340156346559525
6300,0.04075167700648308
6400,0.04357433691620827
6500,0.03583507984876633
6600,0.038764260709285736
6700,0.04340629652142525
6800,0.04470457136631012
6900,0.031147724017500877
7000,0.031375106424093246
7100,0.029828615486621857
7200,0.04151388257741928
7300,0.0030528262723237276
7400,0.02102973312139511
7500,0.01567125879228115
7600,0.02485519088804722
7700,0.011298631317913532
7800,0.010299893096089363
7900,0.03023824654519558
8000,0.026266850531101227
8100,-0.0053618247620761395
8200,-0.00046330512850545347
8300,-0.008329182863235474
8400,-0.007233625277876854
8500,0.015373069792985916
8600,0.014077335596084595
8700,0.020212309435009956
8800,0.014683639630675316
8900,-0.0012879378627985716
9000,0.02210211381316185
9100,0.025785652920603752
9200,0.026985138654708862
9300,0.018835697323083878
9400,-0.0023786243982613087
9500,0.01993734948337078
9600,0.019116051495075226
9700,0.011858832091093063
9800,0.025785652920603752
9900,0.011622421443462372
10000,0.010569949634373188
10100,0.006865970324724913
10200,0.005775758530944586
10300,0.02713087946176529
10400,0.02562684379518032
10500,0.006527911406010389
10600,0.006504545919597149
10700,-0.004341541789472103
10800,0.015611063688993454
10900,0.0032022190280258656
11000,-0.003518153680488467
11100,0.0192071832716465
11200,0.012273304164409637
11300,0.01829068921506405
11400,0.019713208079338074
11500,0.024572549387812614
11600,0.02383628860116005
11700,0.005659246817231178
11800,0.022086383774876595
11900,0.02130315825343132
12000,0.021379251033067703
12100,0.023094145581126213
12200,0.028504567220807076
12300,0.025847669690847397
12400,0.022582806646823883
12500,0.020576631650328636
12600,-0.00016183227126020938
12700,0.02210211381316185
12800,0.023589227348566055
12900,0.028987132012844086
13000,0.03446680307388306
13100,0.007655419409275055
13200,0.031782135367393494
13300,0.016980472952127457
13400,0.03061090037226677
13500,0.019485410302877426
13600,0.0287252776324749
13700,0.017983494326472282
13800,0.019671684131026268
13900,0.020764702931046486
14000,0.034669179469347
14100,0.029844453558325768
14200,0.021292628720402718
14300,0.02053973637521267
14400,0.02432790771126747
14500,0.003773103468120098
14600,0.019671684131026268
14700,0.015073002316057682
14800,0.03866412118077278
14900,0.03518015518784523
15000,0.04759248346090317
15100,0.03023824654519558
15200,0.04740457609295845
15300,0.05348328500986099
15400,-0.010773447342216969
15500,0.002348029287531972
15600,0.022891869768500328
15700,0.032811276614665985
15800,0.04619832709431648
15900,0.005998657550662756
16000,0.02129990980029106
16100,0.040876589715480804
16200,0.0140343327075243
16300,0.014984012581408024
16400,0.05061546340584755
16500,0.008849380537867546
16600,0.026506716385483742
16700,0.03864563629031181
16800,0.02091860957443714
16900,0.027842117473483086
17000,0.021085280925035477
17100,0.032376185059547424
17200,0.03140327334403992
17300,0.030899394303560257
17400,0.028164498507976532
17500,0.04388270154595375
17600,0.014683639630675316
17700,0.03217758610844612
17800,0.029820116236805916
17900,0.037172190845012665
18000,0.04530229791998863
18100,0.025847669690847397
18200,0.02210211381316185
18300,0.03544790297746658
18400,0.03917344659566879
18500,0.03531232476234436
18600,0.023427195847034454
18700,0.04093766212463379
18800,0.03171027451753616
18900,0.00980094913393259
19000,0.0007453466532751918
19100,0.019485410302877426
19200,0.0021762261167168617
19300,0.019315090030431747
19400,-0.009342772886157036
19500,0.036773186177015305
19600,0.04524598643183708
19700,0.022276414558291435
19800,0.012049552984535694
19900,0.015502898953855038
20000,0.033781882375478745
20100,0.018823450431227684
20200,0.018131699413061142
20300,0.02413957379758358
20400,0.006772026885300875
20500,0.02701016515493393
20600,0.0043904962949454784
20700,0.013723412528634071
20800,0.03221568465232849
20900,0.03335196524858475
21000,0.021379251033067703
21100,0.019394688308238983
21200,0.025351617485284805
21300,0.03227368742227554
21400,0.036773186177015305
21500,0.01156539935618639
21600,0.01090556476265192
21700,0.01655532233417034
21800,0.017503153532743454
21900,0.03601488471031189
22000,-0.012498457916080952
22100,-0.012088625691831112
22200,0.015815725550055504
22300,-0.0010717869736254215
22400,0.0035076348576694727
22500,0.016214849427342415
22600,0.012702932581305504
22700,0.02562684379518032
22800,-0.0042610797099769115
22900,0.034682389348745346
23000,0.020276905968785286
23100,0.009933694265782833
23200,0.04060284420847893
23300,0.014329366385936737
23400,0.031193548813462257
23500,0.012859683483839035
23600,0.01855354569852352
23700,0.04866544157266617
23800,0.0029037659987807274
23900,-0.0058339801616966724
24000,0.0035076348576694727
24100,0.019405612722039223
24200,0.0068084788508713245
24300,0.026957640424370766
24400,0.016574054956436157
24500,0.011219482868909836
24600,0.016013799235224724
24700,0.013095353730022907
24800,0.031065622344613075
24900,0.004078621510416269
25000,0.013152781873941422
25100,0.024605978280305862
25200,0.04543448984622955
25300,0.003725909162312746
25400,0.018025033175945282
25500,0.030572673305869102
25600,0.04112681373953819
25700,0.018593529239296913
25800,0.04541249945759773
25900,0.010246587917208672
26000,0.021034549921751022
26100,0.016979606822133064
26200,0.0389244370162487
26300,0.03923424705862999
26400,0.026266850531101227
26500,0.053737469017505646
26600,0.01003984920680523
26700,0.0037154327146708965
26800,0.009398475289344788
26900,0.059852100908756256
27000,0.04735632613301277
27100,0.037172190845012665
27200,0.06850814819335938
27300,0.03544790297746658
27400,0.03741281107068062
27500,0.031782135367393494
27600,0.03480164334177971
27700,0.024959055706858635
27800,0.020265374332666397
27900,0.03305176645517349
28000,0.022165004163980484
28100,0.03708965703845024
28200,0.07341707497835159
28300,0.06784173101186752
28400,0.03027009777724743
28500,0.033781882375478745
28600,0.018593529239296913
28700,0.020576631650328636
28800,0.04543448984622955
28900,0.04112681373953819
29000,0.025302285328507423
29100,0.02180747129023075
29200,0.01090556476265192
29300,0.01459194254130125
29400,0.027934139594435692
29500,0.013825904577970505
29600,0.014141717925667763
29700,0.021837133914232254
29800,0.061598457396030426
29900,0.06046054884791374
30000,0.023164177313447
30100,0.023427195847034454
30200,0.04826132580637932
30300,0.0753709226846695
30400,0.061492446810007095
30500,0.046050578355789185
30600,0.011858832091093063
30700,0.04439188539981842
30800,0.04417795687913895
30900,0.03695721551775932
31000,0.07690078765153885
31100,0.07004857808351517
31200,0.032905299216508865
31300,0.04683709144592285
31400,0.02713087946176529
31500,0.015800561755895615
31600,0.049389395862817764
31700,0.0416085347533226
31800,0.05621086433529854
31900,0.030001621693372726
32000,0.026292964816093445
32100,0.025499898940324783
32200,0.05930985137820244
32300,0.008236655034124851
32400,0.03746703639626503
32500,0.05272640287876129
32600,0.05152549594640732
32700,0.041367799043655396
32800,0.041081804782152176
32900,0.04938891530036926
33000,0.039017364382743835
33100,0.05148825794458389
33200,0.04258867725729942
33300,0.04668774828314781
33400,0.03652502968907356
33500,0.05242835357785225
33600,0.03357945382595062
33700,0.03862347826361656
33800,0.04601215943694115
33900,0.049708329141139984
34000,0.03608117625117302
34100,0.05503097176551819
34200,0.05398458242416382
34300,0.0535314604640007
34400,0.06463777273893356
34500,0.066397525370121
34600,0.06817116588354111
34700,0.08636939525604248
34800,0.0718427374958992
34900,0.046611763536930084
35000,0.042117390781641006
35100,0.04066937044262886
35200,0.0400320403277874
35300,0.049491625279188156
35400,0.036162469536066055
35500,0.05747998505830765
35600,0.05285651236772537
35700,0.05755092203617096
35800,0.032524846494197845
35900,0.05743331089615822
36000,0.05016181617975235
36100,0.06397280097007751
36200,0.05049736797809601
36300,0.036043304949998856
36400,0.04744856432080269
36500,0.0630083829164505
36600,0.06282936036586761
36700,0.06117284670472145
36800,0.047570835798978806
36900,0.0690150260925293
37000,0.053392648696899414
37100,0.0523156113922596
37200,0.07187338173389435
37300,0.06831414997577667
37400,0.022966261953115463
37500,0.06131282448768616
37600,0.03740702569484711
37700,0.060945458710193634
37800,0.04325911030173302
37900,0.05377425253391266
38000,0.05414438620209694
38100,0.030538586899638176
38200,0.025473687797784805
38300,0.03878219053149223
38400,0.03446680307388306
38500,0.07191584259271622
38600,0.058232687413692474
38700,0.09389891475439072
38800,0.057660654187202454
38900,0.07858985662460327
39000,0.05158694460988045
39100,0.060941655188798904
39200,0.05203379690647125
39300,0.04380366578698158
39400,0.04011169821023941
39500,0.01829068921506405
39600,0.07877634465694427
39700,0.029504671692848206
39800,0.0664660781621933
39900,0.061268340796232224
40000,0.0479324646294117
40100,0.0389244370162487
40200,0.04738043621182442
40300,0.0653558149933815
40400,0.04955074191093445
40500,0.07021018862724304
40600,0.07338274270296097
40700,0.08854452520608902
40800,0.08661326766014099
40900,0.07744422554969788
41000,0.05536516010761261
41100,0.05247321352362633
41200,0.08278282731771469
41300,0.07455515116453171
41400,0.04524598643183708
41500,0.06636063754558563
41600,0.06457258760929108
41700,0.060945458710193634
41800,0.06812992691993713
41900,0.06504271179437637
42000,0.06674467027187347
42100,0.06457903236150742
42200,0.03161747008562088
42300,0.07214106619358063
42400,0.04990847781300545
42500,0.040835268795490265
42600,0.08661326766014099
42700,0.05998312681913376
42800,0.08126209676265717
42900,0.07514986395835876
43000,0.05461915582418442
43100,0.07165057957172394
43200,0.06414070725440979
43300,0.06452181935310364
43400,0.05283195897936821
43500,0.07021018862724304
43600,0.05348328500986099
43700,0.06098708137869835
43800,0.03728538006544113
43900,0.06458933651447296
44000,0.04264917969703674
44100,0.04526683688163757
44200,0.05953250080347061
44300,0.07213946431875229
44400,0.06837054342031479
44500,0.05795517563819885
44600,0.040962301194667816
44700,0.06914794445037842
44800,0.029095226898789406
44900,0.07044477015733719
45000,0.057730529457330704
45100,0.03885048255324364
45200,0.06289295107126236
45300,0.030412428081035614
45400,0.05562373995780945
45500,0.03434860333800316
45600,0.03864563629031181
45700,0.04066937044262886
45800,0.03061090037226677
45900,0.059208210557699203
46000,0.06826557964086533
46100,0.06651780754327774
46200,0.058232687413692474
46300,0.07562004774808884
46400,0.05534067749977112
46500,0.027621151879429817
46600,0.06232025846838951
46700,0.07224976271390915
46800,0.049491625279188156
46900,0.047782935202121735
47000,0.019679181277751923
47100,0.03685588389635086
47200,0.02491617016494274
47300,0.021832013502717018
47400,0.03917703405022621
47500,0.02835720404982567
47600,0.030735038220882416
47700,0.06461136043071747
47800,0.04454982653260231
47900,0.043055690824985504
48000,0.06414070725440979
48100,0.07352874428033829
48200,0.07671978324651718
48300,0.04340093210339546
48400,0.040278851985931396
48500,0.055173471570014954
48600,0.057215653359889984
48700,0.044979218393564224
48800,0.059735726565122604
48900,0.041367799043655396
49000,0.03861520066857338
49100,0.04741106554865837
49200,0.01206851378083229
49300,0.04001336172223091
49400,0.03642197325825691
49500,0.04561642184853554
49600,0.05533994734287262
49700,0.018006250262260437
49800,0.05904059112071991
49900,0.06094415485858917
50000,0.061492446810007095
50100,0.019477469846606255
50200,0.05371254310011864
50300,0.04522418603301048
50400,0.03622673079371452
50500,0.036113202571868896
50600,0.0612381249666214
50700,0.030572673305869102
50800,0.07671747356653214
50900,0.075132355093956
51000,0.07415400445461273
51100,0.025499898940324783
51200,0.05040501430630684
51300,0.0650428831577301
51400,0.059139903634786606
51500,0.0535314604640007
51600,0.08705548942089081
51700,0.04426064342260361
51800,0.046050578355789185
51900,0.05728116258978844
52000,0.10816816240549088
52100,0.061845310032367706
52200,0.05795517563819885
52300,0.04555070772767067
52400,0.05157056823372841
52500,0.08355753868818283
52600,0.04996996372938156
52700,0.06301536411046982
52800,0.05531260743737221
52900,0.06636063754558563
53000,0.04517907649278641
53100,0.0332006998360157
53200,0.05725624039769173
53300,0.034682389348745346
53400,0.05546396225690842
53500,0.051652003079652786
53600,0.11807508021593094
53700,0.05492018908262253
53800,0.0630752369761467
53900,0.07167588919401169
54000,0.07806003093719482
54100,0.08173996210098267
54200,0.08971589803695679
54300,0.04996996372938156
54400,0.10294646769762039
54500,0.07913752645254135
54600,0.06843509525060654
54700,0.07178793102502823
54800,0.03708965703845024
54900,0.07341452687978745
55000,0.08369053155183792
55100,0.04609300196170807
55200,0.0317281149327755
55300,0.0263258907943964
55400,0.0612381249666214
55500,0.06486482173204422
55600,0.05910194665193558
55700,0.08053173124790192
55800,0.08211733400821686
55900,0.024065855890512466
56000,0.043469835072755814
56100,0.08273197710514069
56200,0.09635168313980103
56300,0.016241488978266716
56400,0.05365794152021408
56500,0.0579535998404026
56600,0.05140446871519089
56700,0.0534745492041111
56800,0.05723698064684868
56900,0.03485981374979019
57000,0.08344846218824387
57100,0.04015401378273964
57200,0.05283195897936821
57300,0.06654844433069229
57400,0.047782935202121735
57500,0.03695721551775932
57600,0.07893986254930496
57700,0.07503846287727356
57800,0.08199075609445572
57900,0.0823252871632576
58000,0.05930985137820244
58100,0.03583507984876633
58200,0.03851498290896416
58300,0.05938643589615822
58400,0.08521123230457306
58500,0.03872925415635109
58600,0.0918775349855423
58700,0.04947226122021675
58800,0.06277581304311752
58900,0.02806299924850464
59000,0.06739625334739685
59100,0.02602504752576351
59200,0.06339868903160095
59300,0.06270615011453629
59400,0.08445604145526886
59500,0.07044477015733719
59600,0.06319261342287064
59700,0.06674467027187347
59800,0.04757338762283325
59900,0.03518015518784523
60000,0.06276803463697433
60100,0.07671348750591278
60200,0.05377425253391266
60300,0.06642434746026993
60400,0.08300801366567612
60500,0.059208210557699203
60600,0.08294222503900528
60700,0.08587084710597992
60800,0.06524083763360977
60900,0.0646882951259613
61000,0.08087876439094543
61100,0.028572341427206993
61200,0.05487092211842537
61300,0.07749142497777939
61400,0.06095271185040474
61500,0.09935653209686279
61600,0.07368102669715881
61700,0.08199075609445572
61800,0.04040642827749252
61900,0.01654331386089325
62000,0.04975924268364906
62100,0.06457258760929108
62200,0.06987053155899048
62300,0.041704196482896805
62400,0.0546053983271122
62500,0.09562288224697113
