12.253057024214003
step,mcc
100,0.0
200,0.0
300,0.0
400,-0.012807751074433327
500,-0.020702673122286797
600,0.0
700,0.0
800,0.0
900,0.0
1000,0.0
1100,0.0
1200,0.0
1300,0.0
1400,0.0
1500,0.0
1600,0.0
1700,0.0
1800,0.0
1900,0.0
2000,0.0
2100,0.0
2200,0.0
2300,0.0
2400,0.0
2500,0.0
2600,0.0
2700,0.0
2800,0.0
2900,0.0
3000,0.0
3100,0.0
3200,0.0
3300,0.0
3400,0.0
3500,0.0
3600,0.0
3700,0.0
3800,0.0
3900,0.0
4000,0.0
4100,0.0
4200,0.0
4300,0.0
4400,-0.029292061924934387
4500,-0.0358925461769104
4600,-0.029178325086832047
4700,0.0008509389590471983
4800,-0.011682584881782532
4900,0.010115198791027069
5000,-0.01035925280302763
5100,-0.01035925280302763
5200,-0.001245033578015864
5300,-0.01128106378018856
5400,-0.013158163987100124
5500,-0.015680642798542976
5600,-0.02472938597202301
5700,-0.022391455247998238
5800,-0.027708156034350395
5900,-0.030546147376298904
6000,-0.044842757284641266
6100,-0.02909744158387184
6200,-0.03295138478279114
6300,-0.02858910709619522
6400,-0.028080711141228676
6500,-0.028080711141228676
6600,-0.025275779888033867
6700,-0.03152500465512276
6800,-0.028114328160881996
6900,-0.022948144003748894
7000,-0.026567069813609123
7100,-0.028568193316459656
7200,-0.019939031451940536
7300,-0.028105419129133224
7400,-0.02964564599096775
7500,-0.030643194913864136
7600,-0.03163139894604683
7700,-0.02363007143139839
7800,-0.029114292934536934
7900,-0.031027434393763542
8000,-0.0346531942486763
8100,-0.03358172997832298
8200,-0.0339583121240139
8300,-0.03411366418004036
8400,-0.029076067730784416
8500,-0.026552651077508926
8600,-0.028568025678396225
8700,-0.02706274203956127
8800,-0.025552907958626747
8900,-0.013810034841299057
9000,-0.023720791563391685
9100,-0.022703668102622032
9200,-0.018399206921458244
9300,-0.01477880124002695
9400,-0.022248564288020134
9500,-0.022371290251612663
9600,-0.01914156973361969
9700,-0.018247513100504875
9800,-0.02396606281399727
9900,-0.011572776362299919
10000,-0.013095581904053688
