0.5260305882162518
step,mcc
149,0.42542949318885803
299,0.453142374753952
449,0.4600820243358612
599,0.49582985043525696
751,0.4273260533809662
901,0.5258777737617493
1051,0.5434567928314209
1201,0.5237230062484741
1351,0.5315332412719727
1503,0.5600481629371643
1653,0.6066698431968689
1803,0.5872286558151245
1953,0.6041033864021301
2103,0.5987107157707214
