13.054607151481841
step,mcc
100,0.0
200,0.0
300,-0.031026188284158707
400,-0.025198426097631454
500,0.0006056678830645978
600,-0.01682320423424244
700,-0.002830970101058483
800,-0.0014601844595745206
900,0.0144669059664011
1000,-0.01657087355852127
1100,0.007418411318212748
1200,-0.0023052615579217672
1300,-0.00014592398656532168
1400,0.03765339404344559
1500,0.03297536447644234
1600,-0.0063451011665165424
1700,0.008998587727546692
1800,-0.007899001240730286
1900,0.020576631650328636
2000,-0.009366346523165703
2100,-0.009024697355926037
2200,0.016072984784841537
2300,0.014160705730319023
2400,0.04576189070940018
2500,0.0302260834723711
2600,0.0
2700,0.04538451507687569
2800,0.03544790297746658
2900,0.004043767228722572
3000,0.021837133914232254
3100,0.017719285562634468
3200,0.038215186446905136
3300,0.04196375235915184
3400,0.025379668921232224
3500,0.022842491045594215
3600,0.007655419409275055
3700,0.016214849427342415
3800,0.009917094372212887
3900,-0.01128106378018856
4000,0.018310056999325752
4100,0.04212342947721481
4200,0.02835720404982567
4300,0.016817735508084297
4400,0.033660996705293655
4500,0.03583507984876633
4600,0.06270615011453629
4700,0.03986532241106033
4800,0.052335526794195175
4900,0.03505072742700577
5000,0.014454633928835392
5100,0.027820615097880363
5200,0.0020992171484977007
5300,0.03917703405022621
5400,-0.012958751991391182
5500,0.007217406295239925
5600,0.019208339974284172
5700,0.0251818485558033
5800,0.06316634267568588
5900,0.027130646631121635
6000,0.04955074191093445
6100,0.07964774966239929
6200,0.06085854396224022
6300,0.06098708137869835
6400,0.05736354738473892
6500,0.1021491065621376
6600,0.0407695397734642
6700,0.05830453708767891
6800,0.044856179505586624
6900,0.09524311870336533
7000,0.0717410147190094
7100,0.045240554958581924
7200,0.02922767400741577
7300,0.0473710373044014
7400,0.0898638665676117
7500,0.07991816103458405
7600,0.012049552984535694
7700,0.0734531357884407
7800,0.021540170535445213
7900,0.04583446681499481
8000,0.07346036285161972
8100,0.11102272570133209
8200,0.043278757482767105
8300,0.022842491045594215
8400,0.07404273003339767
8500,0.0473710373044014
8600,0.03297536447644234
8700,0.05152549594640732
8800,0.04093888774514198
