step,mcc
100,0.0
200,0.0
300,0.0
400,0.0
500,0.0
600,0.0
700,-0.020702673122286797
800,0.012271814979612827
900,0.00017125243903137743
1000,-0.010321544483304024
1100,-0.00034019924351014197
1200,-0.007088279351592064
1300,0.009322067722678185
1400,-0.0038926664274185896
1500,0.0012432223884388804
1600,0.0065167369320988655
1700,0.0038430537097156048
1800,0.00793058518320322
1900,-0.003882013726979494
2000,0.0072920420207083225
2100,0.008180072531104088
2200,-0.008706687949597836
2300,-0.01142328791320324
2400,0.003939987160265446
2500,-0.013956555165350437
2600,-0.019620927050709724
2700,-0.005019672680646181
2800,-0.012575028464198112
2900,0.001172317424789071
3000,-0.0063315508887171745
3100,-0.023954356089234352
3200,0.0035096306819468737
3300,-0.018076986074447632
3400,-0.00703201349824667
3500,-0.0031444476917386055
3600,0.01865975558757782
3700,0.02030622586607933
3800,0.017807500436902046
3900,-0.003762677079066634
4000,0.011533187702298164
4100,0.013771248050034046
4200,0.010713677853345871
4300,0.0008683810592629015
4400,0.010382442735135555
4500,0.026237091049551964
4600,0.03361423686146736
4700,0.03149915114045143
4800,0.02289142645895481
4900,0.03119155392050743
5000,0.03242695331573486
5100,0.049259983003139496
5200,0.0036827956791967154
5300,0.03088616020977497
5400,0.023209840059280396
5500,0.036731451749801636
5600,0.03335196524858475
5700,0.03120315819978714
5800,0.022350875660777092
5900,0.03227368742227554
6000,0.045019231736660004
6100,0.007805779576301575
6200,0.044735830277204514
6300,0.045104850083589554
6400,0.024732569232583046
6500,0.020151542499661446
6600,0.04085780307650566
6700,0.052335526794195175
6800,0.04196375235915184
6900,0.05380379781126976
7000,0.01530524343252182
7100,0.06645824760198593
7200,0.06630360335111618
7300,0.04093766212463379
7400,0.0411071814596653
7500,0.05579066649079323
7600,0.028365395963191986
7700,0.02815876714885235
7800,0.04112681373953819
7900,0.05348328500986099
8000,0.040536634624004364
8100,0.05562562867999077
8200,0.06637751311063766
8300,0.06280376762151718
8400,0.015627138316631317
8500,0.040876589715480804
8600,0.07511258125305176
8700,0.05561011657118797
8800,0.0651361495256424
8900,0.07900190353393555
