step,mcc
100,0.0
200,0.0
300,0.0
400,0.0
500,-0.00390655780211091
600,0.014964118599891663
700,0.006143846549093723
800,0.0010533607564866543
900,0.011608765460550785
1000,0.012538988143205643
1100,0.0005391048616729677
1200,0.007145872339606285
1300,-0.011030711233615875
1400,-0.010686845518648624
1500,0.004650697112083435
1600,0.005372707266360521
1700,-0.0013125280383974314
1800,-0.012296139262616634
1900,0.028240960091352463
2000,0.013334269635379314
2100,0.0074788290075957775
2200,0.015102477744221687
2300,0.015899762511253357
2400,0.03027009777724743
2500,0.034102246165275574
2600,0.021463798359036446
2700,0.04001336172223091
2800,0.010742716491222382
2900,0.005568777211010456
3000,-0.0003969417593907565
3100,0.010281874798238277
3200,0.023979784920811653
3300,0.03381854668259621
3400,0.029607931151986122
3500,0.023979784920811653
3600,0.023601535707712173
3700,0.03872925415635109
3800,0.04166639596223831
3900,0.03879106044769287
4000,0.013825904577970505
4100,0.018823450431227684
4200,0.030412428081035614
4300,0.02180747129023075
4400,0.01654331386089325
4500,0.016168681904673576
4600,0.06367809325456619
4700,0.04839935526251793
4800,0.04938891530036926
4900,0.03675900027155876
5000,0.040835268795490265
5100,0.02029060199856758
5200,0.04366028681397438
5300,0.05154578760266304
5400,0.02531193010509014
5500,0.018025033175945282
5600,0.03725042566657066
5700,0.0612381249666214
5800,0.05795517563819885
5900,0.02001223713159561
6000,0.027820615097880363
6100,0.03157450631260872
6200,0.04401053860783577
6300,0.08042167872190475
6400,0.03131880611181259
6500,0.04212342947721481
6600,0.03445560485124588
6700,0.07205355912446976
6800,0.07074768841266632
6900,0.07258681207895279
7000,0.053282931447029114
7100,0.05231001600623131
7200,0.03141234442591667
7300,0.05725624039769173
7400,0.03642197325825691
7500,0.0795677900314331
7600,0.07095672190189362
7700,0.06495888531208038
7800,0.0650428831577301
7900,0.057288940995931625
8000,0.05978607013821602
8100,0.07259977608919144
8200,0.05539140850305557
8300,0.0672604888677597
8400,0.059733785688877106
8500,0.09518415480852127
8600,0.07595045119524002
8700,0.05758274719119072
8800,0.053381286561489105
8900,0.0956517904996872
9000,0.06819687783718109
